Rank,Card Name,Set,Max Price (USD),Avg Price (USD),Min Price (USD),Listings,1Mo Trend %,6Mo Trend %,12Mo Trend %,Sold Count
202,"MINT Pikachu 93/92","Unknown Set",369.95,369.95,369.95,1,0,0,0,0
203,"Raichu (H25)","Skyridge",366.94,234.45,87.41,5,0,0,0,0
204,"Fall 2022 Collector Chest Case","SWSH12: Silver Tempest",366.66,366.66,366.66,1,0,0,0,0
205,"Houndoom","Neo Revelation",365,145.86,49.76,9,0,0,0,0
206,"Dragonite (9)","Expedition",364.99,159.39,52.89,9,0,0,0,0
207,"Typhlosion (17)","Neo Genesis",361.66,135.44,46.65,7,0,0,0,0
208,"PLASMA FREEZE GARBODOR","Unknown Set",360,360,360,1,0,0,0,0
209,"2007 Power Keepers","Unknown Set",359.99,359.99,359.99,1,0,0,0,0
210,"LEGENDARY COLLECTION ELECTRODE","Legendary Collection",354.99,354.99,354.99,1,0,0,0,0
211,"Silver Tempest Build & Battle Box Display","SWSH12: Silver Tempest",350.25,350.25,350.25,1,0,0,0,0
212,"2000 Team Rocket","Team Rocket",350,91.89,2.99,5,0,0,0,0
213,"1998 Japanese Rocket","Unknown Set",350,350,350,1,0,0,0,0
214,"DUGTRIO Base Set","Base Set",350,350,350,1,0,0,0,0
215,"Feraligatr (12)","Expedition",350,94.26,24.44,7,0,0,0,0
216,"Base Set Theme Deck - "Overgrowth" (Revised Base Set Reprint Run)","Base Set",350,350,350,1,0,0,0,0
217,"1999 Wizard Base","Base Set",349.99,349.99,349.99,1,0,0,0,0
218,"1999 Pokémon French","Base Set",349.95,349.95,349.95,1,0,0,0,0
219,"100 POPULAR VMAX","Unknown Set",349.47,349.47,349.47,1,0,0,0,0
220,"Neo Discovery Booster Pack [Unlimited Edition]","Neo Discovery",344.44,344.44,344.44,1,0,0,0,0
221,"Jungle Booster Pack [1st Edition]","Jungle",343.57,343.57,343.57,1,0,0,0,0
222,"Crown Zenith Premium Figure Collection [Set of 2]","Crown Zenith",336.26,336.26,336.26,1,0,0,0,0
223,"Expedition Feraligatr (7934)","Expedition",336,336,336,1,0,0,0,0
224,"Fossil Booster Pack [1st Edition]","Fossil",334.98,334.98,334.98,1,0,0,0,0
225,"LEGENDARY COLLECTION ARCANINE","Legendary Collection",334,334,334,1,0,0,0,0
226,"2001 DARK VENUSAUR","Unknown Set",332.6,332.6,332.6,1,0,0,0,0
227,"Gengar (5)","Fossil",330.89,122.01,31.95,10,0,0,0,0
228,"GEM MINT 2012","Unknown Set",329.99,329.99,329.99,1,0,0,0,0
229,"V-UNION Special Collection [Set of 3]","SWSH07: Evolving Skies",329.12,329.12,329.12,1,0,0,0,0
230,"Tyranitar (29)","Expedition",327.48,119.21,39.72,9,0,0,0,0
231,"Tyranitar","Aquapolis",325.99,86.41,21.11,10,0,0,0,0
232,"umbreon undaunted Prime","Unknown Set",325.95,325.95,325.95,1,0,0,0,0
233,"Gengar VMAX (Alternate Art Secret)","SWSH08: Fusion Strike",325.11,325.11,325.11,1,0,0,0,0
234,"Crown Zenith Collection Case","Crown Zenith",323.32,323.32,323.32,1,0,0,0,0
235,"2003 Skyridge Flareon","Skyridge",319,319,319,1,0,0,0,0
236,"2003 Skyridge Jolteon","Skyridge",319,259.5,199.99,2,0,0,0,0
237,"Charizard (39)","Expedition",318.99,125.68,28.01,10,0,0,0,0
238,"Shining Raichu","Neo Destiny",317.5,252.67,167.55,5,0,0,0,0
239,"Base Set Theme Deck - "Blackout" (Revised Base Set Reprint Run)","Base Set",311.95,311.95,311.95,1,0,0,0,0
240,"Pokémon Umbreon Sun","Base Set",309.53,66.42,4,6,0,0,0,0
241,"Team Rocket Theme Deck - "Devastation"","Team Rocket",309.38,309.38,309.38,1,0,0,0,0
242,"Espeon (H9)","Aquapolis",307.43,192.97,91.61,4,0,0,0,0
243,"Umbreon 24/100","Unknown Set",305.99,305.99,305.99,1,0,0,0,0
244,"Snorlax (11)","Jungle",305.22,93.23,17.73,10,0,0,0,0
245,"Ho-oh (7)","Neo Revelation",304.98,126.67,40.99,9,0,0,0,0
246,"LEGENDARY COLLECTION ENERGY","Legendary Collection",304.95,304.95,304.95,1,0,0,0,0
247,"Charizard","Base Set 2",304.88,195.47,116.08,5,0,0,0,0
248,"Mewtwo","Base Set (Shadowless)",300,123.9,32.86,6,0,0,0,0
249,"Pikachu Vmax Pokémon","Unknown Set",300,300,300,1,0,0,0,0
250,"Meowth 91/102 Base","Base Set",300,300,300,1,0,0,0,0
251,"Cards! Four Slabs","Unknown Set",300,300,300,1,0,0,0,0
252,"Authentic Cards","Unknown Set",300,300,300,1,0,0,0,0
253,"Raikou (13)","Neo Revelation",299.99,126.03,32.65,7,0,0,0,0
254,"2002 Expedition Tyranitar","Expedition",299.99,299.99,299.99,1,0,0,0,0
255,"1/1 DITTO One-of-One","Fossil",299.99,299.99,299.99,1,0,0,0,0
256,"2003 Dragon Crawdaunt","Unknown Set",299.99,299.99,299.99,1,0,0,0,0
